,chopper frequency£¨HZ£©,Vout(V),,inset,time£¨s£©,Vout(V)
,,,,,0.05207,0.384
,,,,,0.05215,0.384
,,,,,0.05223,0.384
,,,,,0.05231,0.384
,,,,,0.05239,0.384
,,,,,0.05247,0.384
,,,,,0.05255,0.384
,,,,,0.05263,0.384
,,,,,0.05271,0.384
,,,,,0.05279,0.384
,,,,,0.05287,0.384
,,,,,0.05295,0.384
,,,,,0.05303,0.384
,,,,,0.05311,0.384
,,,,,0.05319,0.384
,,,,,0.05327,0.384
,,,,,0.05335,0.384
,,,,,0.05343,0.384
,,,,,0.05351,0.384
,,,,,0.05359,0.384
,,,,,0.05367,0.384
,,,,,0.05375,0.384
,,,,,0.05383,0.384
,,,,,0.05391,0.384
,,,,,0.05399,0.384
,,,,,0.05407,0.384
,,,,,0.05415,0.384
,,,,,0.05423,0.384
,,,,,0.05431,0.384
,,,,,0.05439,0.384
,,,,,0.05447,0.384
,,,,,0.05455,0.384
,,,,,0.05463,0.384
,,,,,0.05471,0.384
,,,,,0.05479,0.384
,,,,,0.05487,0.384
,,,,,0.05495,0.384
,,,,,0.05503,0.384
,,,,,0.05511,0.384
,,,,,0.05519,0.384
,,,,,0.05527,0.384
,,,,,0.05535,0.384
,,,,,0.05543,0.384
,,,,,0.05551,0.384
,,,,,0.05559,0.384
,,,,,0.05567,0.384
,,,,,0.05575,0.384
,,,,,0.05583,0.384
,,,,,0.05591,0.384
,,,,,0.05599,0.384
,,,,,0.05607,0.384
,,,,,0.05615,0.384
,,,,,0.05623,0.384
,,,,,0.05631,0.384
,,,,,0.05639,0.384
,,,,,0.05647,0.384
,,,,,0.05655,0.384
,,,,,0.05663,0.3872
,,,,,0.05671,0.3872
,,,,,0.05679,0.3872
,,,,,0.05687,0.3872
,,,,,0.05695,0.3872
,,,,,0.05703,0.3872
,,,,,0.05711,0.3872
,,,,,0.05719,0.3872
,,,,,0.05727,0.3872
,,,,,0.05735,0.3872
,,,,,0.05743,0.3872
,,,,,0.05751,0.3872
,,,,,0.05759,0.3872
,,,,,0.05767,0.3872
,,,,,0.05775,0.3872
,,,,,0.05783,0.3872
,,,,,0.05791,0.3872
,,,,,0.05799,0.3872
,,,,,0.05807,0.3872
,,,,,0.05815,0.3872
,,,,,0.05823,0.3872
,,,,,0.05831,0.3872
,,,,,0.05839,0.3872
,,,,,0.05847,0.3872
,,,,,0.05855,0.3872
,,,,,0.05863,0.3872
,,,,,0.05871,0.3872
,,,,,0.05879,0.3872
,,,,,0.05887,0.3872
,,,,,0.05895,0.3872
,,,,,0.05903,0.3872
,,,,,0.05911,0.3872
,,,,,0.05919,0.3872
,,,,,0.05927,0.3872
,,,,,0.05935,0.3872
,,,,,0.05943,0.3872
,,,,,0.05951,0.3872
,,,,,0.05959,0.3872
,,,,,0.05967,0.3872
,,,,,0.05975,0.3872
,,,,,0.05983,0.3872
,,,,,0.05991,0.3872
,,,,,0.05999,0.3872
,,,,,0.06007,0.3872
,,,,,0.06015,0.3872
,,,,,0.06023,0.3872
,,,,,0.06031,0.3872
,,,,,0.06039,0.3872
,,,,,0.06047,0.3872
,,,,,0.06055,0.3872
,,,,,0.06063,0.3872
,,,,,0.06071,0.3872
,,,,,0.06079,0.3872
,,,,,0.06087,0.3872
,,,,,0.06095,0.3872
,,,,,0.06103,0.3872
,,,,,0.06111,0.3872
,,,,,0.06119,0.3872
,,,,,0.06127,0.3872
,,,,,0.06135,0.3872
,,,,,0.06143,0.3872
,,,,,0.06151,0.3872
,,,,,0.06159,0.3872
,,,,,0.06167,0.3872
,,,,,0.06175,0.3872
,,,,,0.06183,0.3872
,,,,,0.06191,0.3872
,,,,,0.06199,0.3872
,,,,,0.06207,0.3872
,,,,,0.06215,0.3872
,,,,,0.06223,0.3872
,,,,,0.06231,0.3872
,,,,,0.06239,0.3872
,,,,,0.06247,0.3872
,,,,,0.06255,0.3872
,,,,,0.06263,0.3872
,,,,,0.06271,0.3872
,,,,,0.06279,0.3872
,,,,,0.06287,0.3872
,,,,,0.06295,0.3872
,,,,,0.06303,0.3872
,,,,,0.06311,0.3872
,,,,,0.06319,0.3872
,,,,,0.06327,0.3872
,,,,,0.06335,0.3872
,,,,,0.06343,0.3872
,,,,,0.06351,0.3872
,,,,,0.06359,0.3872
,,,,,0.06367,0.3872
,,,,,0.06375,0.3872
,,,,,0.06383,0.3872
,,,,,0.06391,0.3872
,,,,,0.06399,0.3872
,,,,,0.06407,0.3872
,,,,,0.06415,0.3872
,,,,,0.06423,0.3872
,,,,,0.06431,0.3872
,,,,,0.06439,0.3872
,,,,,0.06447,0.3872
,,,,,0.06455,0.3872
,,,,,0.06463,0.3872
,,,,,0.06471,0.3872
,,,,,0.06479,0.3872
,,,,,0.06487,0.3872
,,,,,0.06495,0.3872
,,,,,0.06503,0.384
,,,,,0.06511,0.384
,,,,,0.06519,0.384
,,,,,0.06527,0.384
,,,,,0.06535,0.384
,,,,,0.06543,0.384
,,,,,0.06551,0.384
,,,,,0.06559,0.384
,,,,,0.06567,0.384
,,,,,0.06575,0.384
,,,,,0.06583,0.384
,,,,,0.06591,0.384
,,,,,0.06599,0.384
,,,,,0.06607,0.384
,,,,,0.06615,0.384
,,,,,0.06623,0.384
,,,,,0.06631,0.384
,,,,,0.06639,0.384
,,,,,0.06647,0.384
,,,,,0.06655,0.384
,,,,,0.06663,0.384
,,,,,0.06671,0.384
,,,,,0.06679,0.3808
,,,,,0.06687,0.3808
,,,,,0.06695,0.3808
,,,,,0.06703,0.3808
,,,,,0.06711,0.3808
,,,,,0.06719,0.3808
,,,,,0.06727,0.3808
,,,,,0.06735,0.3808
,,,,,0.06743,0.3808
,,,,,0.06751,0.3808
,,,,,0.06759,0.3808
,,,,,0.06767,0.3808
,,,,,0.06775,0.3808
,,,,,0.06783,0.3808
,,,,,0.06791,0.3808
,,,,,0.06799,0.3808
,,,,,0.06807,0.3808
,,,,,0.06815,0.3808
,,,,,0.06823,0.3776
,,,,,0.06831,0.3776
,,,,,0.06839,0.3776
,,,,,0.06847,0.3776
,,,,,0.06855,0.3776
,,,,,0.06863,0.3776
,,,,,0.06871,0.3776
,,,,,0.06879,0.3776
,,,,,0.06887,0.3776
,,,,,0.06895,0.3776
,,,,,0.06903,0.3776
,,,,,0.06911,0.3776
,,,,,0.06919,0.3776
,,,,,0.06927,0.3776
,,,,,0.06935,0.3776
,,,,,0.06943,0.3776
,,,,,0.06951,0.3776
,,,,,0.06959,0.3776
,,,,,0.06967,0.3776
,,,,,0.06975,0.3744
,,,,,0.06983,0.3744
,,,,,0.06991,0.3744
,,,,,0.06999,0.3744
,,,,,0.07007,0.3744
,,,,,0.07015,0.3744
,,,,,0.07023,0.3744
,,,,,0.07031,0.3744
,,,,,0.07039,0.3744
,,,,,0.07047,0.3744
,,,,,0.07055,0.3744
,,,,,0.07063,0.3744
,,,,,0.07071,0.3744
,,,,,0.07079,0.3744
,,,,,0.07087,0.3744
,,,,,0.07095,0.3744
,,,,,0.07103,0.3744
,,,,,0.07111,0.3744
,,,,,0.07119,0.3744
,,,,,0.07127,0.3744
,,,,,0.07135,0.3712
,,,,,0.07143,0.3712
,,,,,0.07151,0.3712
,,,,,0.07159,0.3712
,,,,,0.07167,0.3712
,,,,,0.07175,0.3712
,,,,,0.07183,0.3712
,,,,,0.07191,0.3712
,,,,,0.07199,0.3712
,,,,,0.07207,0.3712
,,,,,0.07215,0.3712
