eight gas infrared absorption band,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2,measured FTIR,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2
Figure 2c-up,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption
,8.81657,0,8.81657,0,8.81657,0,8.81657,0,8.81657,0,8.80885,0,8.81657,0,8.81657,0,,2.16321,0.1432,2.59131,0.12001,3.13116,0.07597,3.68006,0.12103,4.2363,0.17195,4.23628,0.02964,4.2363,0.17024,4.2363,0.00921
,8.81411,0,8.81411,0,8.81411,0,8.81411,0,8.81411,0,8.80626,0,8.81411,0,8.81411,0,,2.16411,0.14367,2.5926,0.12008,3.13305,0.07652,3.68267,0.12092,4.2397,0.17078,4.23974,0.03016,4.2397,0.16788,4.2397,0.00772
,8.81165,0,8.81165,0,8.81165,0,8.81165,0,8.81165,0,8.80368,0,8.81165,0,8.81165,0,,2.16501,0.14409,2.5939,0.11991,3.13495,0.0766,3.68529,0.12088,4.2432,0.1677,4.24321,0.03068,4.2432,0.16431,4.2432,0.00608
,8.80919,0,8.80919,0,8.80919,0,8.80919,0,8.80919,0,8.8011,0,8.80919,0,8.80919,0,,2.16592,0.1444,2.5952,0.11949,3.13684,0.07648,3.68791,0.12098,4.2467,0.16351,4.24669,0.0312,4.2467,0.16008,4.2467,0.00445
,8.80673,0,8.80673,0,8.80673,0,8.80673,0,8.80673,0,8.79852,0,8.80673,0,8.80673,0,,2.16682,0.14468,2.5965,0.11893,3.13874,0.07682,3.69054,0.1212,4.2502,0.15925,4.25017,0.03172,4.2502,0.1559,4.2502,0.00301
,8.80428,0,8.80428,0,8.80428,0,8.80428,0,8.80428,0,8.79594,0,8.80428,0,8.80428,0,,2.16773,0.14505,2.5978,0.11841,3.14064,0.07681,3.69317,0.12146,4.2537,0.15595,4.25365,0.03224,4.2537,0.15239,4.2537,0.00193
,8.80182,0,8.80182,0,8.80182,0,8.80182,0,8.80182,0,8.79336,0,8.80182,0,8.80182,0,,2.16863,0.14545,2.5991,0.11802,3.14255,0.07655,3.6958,0.12172,4.2571,0.15429,4.25715,0.03276,4.2571,0.14994,4.2571,0.00137
,8.79937,0,8.79937,0,8.79937,0,8.79937,0,8.79937,0,8.79078,0,8.79937,0,8.79937,0,,2.16954,0.14582,2.6004,0.11779,3.14445,0.07718,3.69843,0.12192,4.2606,0.1544,4.26064,0.03328,4.2606,0.14859,4.2606,0.00135
,8.79692,0,8.79692,0,8.79692,0,8.79692,0,8.79692,0,8.78821,0,8.79692,0,8.79692,0,,2.17045,0.14611,2.60171,0.11766,3.14636,0.07767,3.70107,0.12203,4.2641,0.15593,4.26415,0.0338,4.2641,0.14805,4.2641,0.00188
,8.79447,0,8.79447,0,8.79447,0,8.79447,0,8.79447,0,8.78563,0,8.79447,0,8.79447,0,,2.17136,0.1463,2.60301,0.11755,3.14827,0.07648,3.70372,0.12205,4.2677,0.15813,4.26766,0.03432,4.2677,0.14786,4.2677,0.00293
